"동별(1)",동별(2),2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4354006,10013781,4874995,5138786,9733655,4742217,4991438,280126,132778,147348,2.24,1518239,4384076,9985652,4859501,5126151,9720846,4732275,4988571,264806,127226,137580,2.21731,1534957,4405833,9953009,4840912,5112097,9699232,4719170,4980062,253777,121742,132035,2.2014525,1552356,4417954,9911088,4816522,5094566,9668465,4701723,4966742,242623,114799,127824,2.19,1568331
"합계",종로구,74151,161984,78271,83713,151217,73704,77513,10767,4567,6200,2.04,28073,74497,160520,77745,82775,150383,73288,77095,10137,4457,5680,2.01865,28203,74861,159842,77391,82451,149952,73024,76928,9890,4367,5523,2.0030724,28396,75003,158996,76876,82120,149384,72635,76749,9612,4241,5371,1.99,28507
"합계",중구,63045,136469,66769,69700,126175,61839,64336,10294,4930,5364,2,23794,63354,136030,66545,69485,126092,61697,64395,9938,4848,5090,1.99028,24035,63594,135321,66193,69128,125800,61526,64274,9521,4667,4854,1.978174,24265,63686,134635,65776,68859,125240,61222,64018,9395,4554,4841,1.97,24495
"합계",용산구,110895,246165,119961,126204,229579,110667,118912,16586,9294,7292,2.07,39439,111586,245362,119494,125868,229431,110527,118904,15931,8967,6964,2.05609,39650,112451,244953,119074,125879,229786,110604,119182,15167,8470,6697,2.0434323,39995,113093,244645,118835,125810,230040,110722,119318,14605,8113,6492,2.03,40247
"합계",성동구,135643,307193,149891,157302,299042,146300,152742,8151,3591,4560,2.2,44728,135937,304851,148554,156297,297397,145258,152139,7454,3296,4158,2.18776,45005,136096,302695,147582,155113,295591,144444,151147,7104,3138,3966,2.1719301,45372,135870,300505,146424,154081,293556,143387,150169,6949,3037,3912,2.16,45603
"합계",광진구,165287,365990,176226,189764,350417,169568,180849,15573,6658,8915,2.12,48989,166307,363925,175083,188842,349574,168879,180695,14351,6204,8147,2.10198,49457,166857,361923,174077,187846,348064,168095,179969,13859,5982,7877,2.0860018,50047,167427,360109,173000,187109,346682,167310,179372,13427,5690,7737,2.07,50560
"합계",동대문구,165279,362793,178202,184591,346156,171896,174260,16637,6306,10331,2.09,60367,166451,360380,177237,183143,345593,171392,174201,14787,5845,8942,2.07624,60817,167232,358679,176433,182246,344416,170748,173668,14263,5685,8578,2.0595101,61408,167598,357014,175322,181692,342837,169769,173068,14177,5553,8624,2.05,61796
"합계",중랑구,182220,400678,198122,202556,395619,196076,199543,5059,2046,3013,2.17,66764,183310,399415,197384,202031,394414,195349,199065,5001,2035,2966,2.15162,67637,185109,400989,198012,202977,395997,195981,200016,4992,2031,2961,2.1392639,68658,185920,399562,197118,202444,394702,195165,199537,4860,1953,2907,2.12,69447
